id,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
134,44.68008394,4,258,69,4274,21.57680507,72,2,volkswagen rabbit custom diesel
135,36.16229309,4,151,90,3381,15.56302491,80,1,buick lesabre custom
136,34.65327397,4,98,97,1875,15.25309483,81,1,pontiac astro
137,35.84603957,4,350,88,2234,17.430128200000002,80,3,amc pacer d/l
138,35.88841987,4,350,132,2234,17.26754733,80,3,chevrolet nova
139,28.79009314,4,116,90,2670,15.449740400000001,71,1,volkswagen dasher
143,23.435849800000003,6,140,110,2815,18.12785817,80,1,dodge aspen
146,27.49995672,4,140,70,2930,13.00877391,75,3,audi 5000s (diesel)
147,18.10753599,4,90,120,2050,17.89129511,77,1,fiat 128
148,44.7184269,4,90,69,4274,21.88568819,78,2,amc ambassador dpl
149,35.67429971,4,105,70,2000,15.05676058,81,1,peugeot 504
151,35.43980905,4,97,100,2000,15.19603785,74,3,ford pinto
152,28.795106899999997,4,116,148,2370,15.18254219,70,2,opel 1900
153,36.02144239,4,134,85,2391,15.46693512,74,3,datsun 210 mpg
160,23.32807066,6,231,110,2815,18.33940731,80,1,dodge aspen
163,36.18367938,4,105,67,2000,15.08939321,81,1,peugeot 504
164,34.29366482,4,135,97,1875,15.30330773,81,1,pontiac astro
166,28.38035121,4,116,148,2950,17.61464637,76,1,volkswagen dasher
168,23.16728215,6,400,85,3193,17.21930457,71,1,honda civic 1300
169,22.86447728,6,89,108,2200,13.28948347,76,3,audi 5000s (diesel)
173,22.81369193,6,89,108,2200,13.36227024,76,1,toyota mark ii
174,22.9385503,6,200,85,2190,17.22176902,71,1,honda civic 1300
176,23.14446014,8,302,140,2210,13.29537737,79,1,plymouth reliant
177,22.42176134,6,400,85,3193,17.1674485,73,1,dodge monaco brougham
180,43.74513805,4,85,74,1755,17.34958907,80,1,renault lecar deluxe
182,17.44334087,8,350,150,4456,13.50855863,72,1,dodge rampage
183,17.52986208,8,318,140,2774,13.21842487,79,1,plymouth reliant
184,17.18805159,8,318,150,3897,13.31959755,75,1,capri ii
185,26.89695123,4,141,97,3233,15.35676438,81,1,peugeot 505s turbo diesel
189,27.80566128,4,305,148,3233,15.60142392,82,2,datsun 200-sx
191,27.76462663,4,140,120,2408,19.40877443,73,1,vw rabbit
192,35.20647437,4,135,97,1875,15.30827025,76,1,pontiac astro
194,28.35037671,4,121,150,2130,13.36054387,70,1,datsun pl510
195,22.70374581,6,156,67,2200,13.21547049,76,3,audi 5000s (diesel)
197,23.65799733,6,225,100,3353,15.32721371,75,1,chevrolet nova
199,17.02055048,8,429,220,2720,9.719183764,70,1,datsun 710
201,17.82787202,8,302,140,2774,13.24890737,79,1,plymouth reliant
203,23.25276487,4,121,112,3070,13.69241225,73,2,saab 99le
207,22.78242384,4,121,85,1875,13.55830945,74,1,saab 99le
209,34.67747858,4,151,100,2385,15.32121643,81,2,ford mustang ii 2+2
212,34.6351131,4,144,85,3193,15.95329054,74,3,ford pinto
213,23.14286104,4,97,130,3380,13.30242856,78,1,saab 99le
216,17.76154642,6,318,110,2868,19.42453518,75,1,triumph tr7 coupe
217,35.89353561,4,104,60,2000,14.84874231,81,3,datsun 200sx
219,35.49601382,4,85,54,1875,15.29841084,80,1,triumph tr7 coupe
221,35.14361303,4,105,67,2000,15.05936691,81,1,peugeot 504
223,28.18695533,4,97,150,2130,13.21592084,70,1,datsun pl510
225,23.55492223,6,140,110,2815,18.15455091,80,1,dodge aspen
226,28.49503968,4,90,120,4295,17.762320199999998,77,1,fiat 128
227,22.72953262,4,232,95,3193,13.24994014,71,1,vw rabbit
228,21.48775234,4,140,78,2639,17.11132587,75,1,amc hornet
232,22.76508775,8,350,139,2300,13.123237900000001,78,1,ford futura
233,17.7923875,8,302,130,2774,13.26461198,73,1,mercury cougar brougham
234,22.01840989,6,400,85,3193,17.192250100000003,71,1,dodge monaco brougham
237,35.78823581,4,104,60,2000,14.88691873,81,1,datsun 200sx
244,23.32672988,4,231,139,2300,15.21792056,78,1,chevrolet nova
246,22.17080633,6,200,150,3193,17.26554936,73,1,dodge monaco brougham
248,36.50700203,4,104,60,2123,14.89284204,81,3,datsun 200sx
254,17.70722683,8,318,150,4154,13.14588696,73,1,dodge monaco brougham
256,22.70312089,6,400,85,2300,13.37527813,71,1,dodge aries se
257,35.87329459,4,97,90,2145,15.08332508,79,1,pontiac lemans v6
259,17.51687255,8,350,150,2300,13.57005091,72,1,dodge rampage
260,23.12136446,8,350,139,2300,13.19819389,78,1,ford futura
265,26.33855443,4,141,97,3233,15.24662306,81,1,peugeot 505s turbo diesel
269,27.18053876,4,140,97,2807,13.36386249,71,1,oldsmobile cutlass ciera (diesel)
273,27.34300254,4,140,88,2835,15.31265458,82,1,datsun 200-sx
274,17.91155894,6,318,110,3205,19.28452309,75,1,triumph tr7 coupe
275,17.51341039,8,302,130,2774,15.09352209,78,1,ford futura
276,28.46635918,4,98,90,3353,15.32935304,79,1,peugeot 504
277,36.49249369,4,318,96,2210,15.23175086,81,3,plymouth valiant
280,34.81752553,4,144,61,2385,15.49229159,74,3,ford mustang ii 2+2
281,21.93320039,4,232,71,2200,15.19812016,76,1,dodge aries se
282,17.69463678,8,302,220,2774,15.16536724,76,1,triumph tr7 coupe
284,22.29610747,6,200,97,3233,13.24405216,71,1,dodge monaco brougham
286,36.34683669,4,105,67,2000,15.03967688,81,1,peugeot 504
287,22.77261757,6,156,108,2200,13.27263311,76,3,toyota mark ii
288,35.46314957,4,134,100,2702,15.50972195,74,3,datsun 210 mpg
289,22.36496533,6,89,108,2930,13.26128165,76,3,audi 5000s (diesel)
290,16.73454766,8,400,193,4464,12.91895068,70,1,hi 1200d
291,28.89868054,4,97,58,1975,17.76832109,77,2,opel 1900
292,18.09933038,4,89,110,3459,13.38957282,82,1,ford galaxie 500
296,35.22648605,4,305,110,3381,17.88824875,82,1,buick century limited
297,15.78761298,8,307,193,4732,13.04427743,70,1,hi 1200d
300,35.94487152,4,97,95,1875,17.4767659,74,3,datsun 210
305,27.54324549,4,140,72,2200,19.28652009,76,1,chevrolet vega
307,35.42364356,4,134,85,2391,15.50119305,74,3,datsun 210 mpg
314,35.02309936,4,80,67,1875,17.52264676,80,3,datsun 510 (sw)
321,22.95133988,6,156,67,2200,13.218804800000001,76,3,toyota mark ii
322,17.53315876,8,318,71,2774,19.45570074,75,1,dodge colt
323,28.70567715,4,97,90,2670,15.36985884,71,1,volkswagen dasher
324,43.290837100000005,4,140,112,2835,13.55060894,82,1,amc gremlin
326,22.16259829,8,400,67,2930,15.02161283,76,3,amc matador
327,35.56561512,4,98,67,2000,15.00126725,81,1,peugeot 504
328,22.88647021,6,400,95,3193,13.21453687,71,1,oldsmobile cutlass ciera (diesel)
329,36.03625605,4,104,67,2000,14.87717932,81,3,datsun 200sx
335,27.68217789,4,140,72,2408,19.38898786,71,1,vw rabbit
336,35.21049393,4,135,85,2190,15.44769707,77,1,ford mustang ii 2+2
339,27.16607,4,141,97,3233,15.21342035,78,1,ford pinto
340,34.9002806,4,144,100,2702,15.41397515,74,3,datsun 210 mpg
341,17.69707382,8,318,140,2774,13.21706857,79,1,amc matador
343,22.20115209,8,108,105,2615,15.23209529,75,1,chevrolet nova
347,22.810436399999997,4,140,72,2408,17.29399063,76,1,datsun 210
348,35.49297302,4,140,110,2835,17.85370782,82,1,buick century limited
349,23.01227349,6,232,71,3193,13.30386039,76,1,opel manta
353,17.76725375,8,350,150,4456,13.49031755,72,1,dodge rampage
355,16.82383192,8,429,100,2245,9.644955524,70,1,hi 1200d
357,17.90062131,8,318,148,3897,17.42806375,75,1,ford ltd
359,36.26582573,4,116,96,2210,14.92311833,81,3,buick regal sport coupe (turbo)
360,35.76071279,4,104,60,2123,14.87498839,81,3,datsun 200sx
365,22.6177288,4,112,85,2190,17.27463778,71,1,honda civic 1300
368,36.01213921,4,104,67,2000,14.88643643,81,3,datsun 200sx
369,22.71509557,6,225,100,2300,15.33456114,79,1,pontiac lemans v6
370,17.70235583,8,318,148,3897,17.44869176,75,1,ford ltd
371,17.60615526,6,318,110,1925,19.48561381,75,1,vw rabbit custom
373,33.74063285,4,88,122,2702,13.40035574,71,2,pontiac lemans v6
376,17.41760791,8,302,140,2774,13.24686447,79,1,mercury cougar brougham
377,35.37545351,4,80,132,2500,17.50548716,80,3,chevrolet nova
381,35.35069642,4,140,148,2300,13.70242972,82,1,buick century limited
383,22.15129429,4,232,96,2910,13.27755889,71,1,dodge aries se
387,22.56750207,4,140,112,2720,15.35371124,82,1,ford granada l
388,43.59772789,4,305,110,3381,17.76496226,82,2,amc gremlin
392,22.98707977,6,225,100,3353,15.28738218,76,1,chevrolet nova
393,23.46950582,6,140,110,2815,18.26734451,80,1,ford fairmont (man)
394,25.47369958,4,105,97,3233,13.55321681,81,1,toyouta corona mark ii (sw)
396,23.37250712,4,232,100,2300,15.29850558,76,1,datsun 210
398,26.11941417,4,141,97,3233,15.22366302,74,3,ford pinto
400,22.64254549,6,225,100,2190,17.07149574,76,1,datsun 210
401,16.30387949,8,351,193,4154,12.91698056,70,1,hi 1200d
404,34.91479799,4,85,85,1875,17.66355746,80,3,ford pinto
405,22.7825388,4,140,108,2200,17.42814902,71,1,vw rabbit
407,35.56541103,4,80,67,2755,17.57040412,80,3,chevrolet nova
410,22.3808865,4,120,110,2815,18.02146237,80,1,dodge aspen
411,22.89104886,6,400,96,2200,13.22281272,71,1,vw rabbit
414,17.20909053,8,350,150,4456,13.50983925,72,1,dodge rampage
417,16.94671372,8,302,110,2774,13.26996535,76,1,triumph tr7 coupe
419,28.34308205,4,90,120,2125,15.56520066,77,1,fiat 128
421,17.450079199999998,8,302,140,2774,13.22347879,79,1,plymouth reliant
423,22.32002847,8,200,97,3233,13.14472866,73,1,dodge monaco brougham
426,27.97369478,4,90,120,2050,17.719152899999997,77,1,dodge monaco brougham
428,17.25831382,8,429,82,2245,9.66885331,70,1,ford galaxie 500
429,35.55915112,4,97,67,3250,17.60130488,80,3,plymouth valiant
430,22.48126121,6,258,72,2200,13.08190148,76,3,toyota mark ii
431,28.74422921,4,97,148,2670,15.54084542,71,2,opel 1900
433,28.24218354,4,90,120,2125,17.89336663,77,1,dodge monaco brougham
437,36.07887253,4,104,67,2000,14.91931866,81,3,datsun 200sx
438,36.42645741,4,104,60,2123,14.91161771,81,3,datsun 200sx
441,35.781276399999996,4,97,67,2500,17.52703712,80,3,plymouth valiant
442,22.42659164,6,200,97,3193,15.16937707,71,1,dodge monaco brougham
444,17.4331786,8,302,150,2300,13.38735514,79,1,mercury cougar brougham
445,17.45028119,8,350,150,4456,13.44607056,72,1,dodge rampage
446,17.61331358,6,200,150,4154,13.07019594,73,1,dodge monaco brougham
448,28.48537939,4,97,148,2130,13.70463166,82,2,datsun 200-sx
449,22.99031126,8,360,139,2300,15.18766716,78,1,chevrolet nova
450,35.64000983,4,134,100,2385,15.47213251,74,3,datsun 210 mpg
454,28.14694394,4,140,?,1760,19.42054012,76,1,vw rabbit
455,17.57384606,8,318,148,3897,17.42910951,75,1,ford ltd
459,28.45776812,4,90,120,2050,17.80234879,77,1,fiat 128
461,22.75343855,6,89,71,2930,13.37191088,76,3,audi 5000s (diesel)
463,35.74147715,4,97,100,2045,15.41424716,74,3,datsun 210
464,36.14812379999999,4,105,70,2000,15.06496311,81,1,peugeot 504
468,17.59325142,8,350,150,4456,13.48715225,72,1,dodge rampage
469,22.87032026,6,156,71,2720,13.42739791,76,1,audi 5000s (diesel)
470,28.10624188,4,98,60,1760,20.02608089,76,1,chevrolet woody
472,35.57954795,4,97,132,1875,17.426822,80,3,chevrolet nova
473,17.18575837,8,429,220,2245,9.671049702000001,70,1,ford galaxie 500
475,27.93024788,4,90,75,2807,17.82130927,77,1,fiat 128
476,17.20721871,8,429,220,2245,9.661589502,70,1,ford galaxie 500
480,35.19674435,4,151,85,4274,13.65056183,80,2,datsun 210 mpg
486,27.32778201,4,119,97,3233,15.11024315,78,3,toyouta corona mark ii (sw)
488,17.95218782,8,302,130,2210,13.16802807,79,1,mercury cougar brougham
490,22.10415628,4,141,97,3233,15.23655558,81,1,peugeot 505s turbo diesel
498,35.976772100000005,4,98,67,2000,15.06062607,81,1,peugeot 504
499,17.8240913,8,302,130,2774,13.17608638,73,1,plymouth reliant
502,36.02804575,4,104,67,2592,14.81817087,81,1,datsun 200sx
504,35.01982895,4,134,85,2391,15.54142215,74,3,datsun 210 mpg
507,35.06990658,4,144,100,2385,15.41855429,74,3,datsun 210 mpg
508,28.81034441,4,121,150,2265,13.21031984,70,3,amc spirit dl
509,35.33757256,4,225,148,3781,13.75734641,82,1,amc gremlin
510,28.20726497,4,140,148,4376,13.74991059,82,2,buick century limited
512,27.98128435,4,140,110,2835,13.64730548,82,1,buick century limited
514,36.49078113,4,104,60,2123,14.8711568,81,3,datsun 200sx
515,35.88902255,4,105,67,2000,15.05009217,79,1,pontiac lemans v6
517,36.46193755,4,90,71,4295,15.40343023,77,1,pontiac j2000 se hatchback
519,28.55588128,4,140,148,3725,13.59278327,82,2,amc gremlin
525,17.68551085,6,89,110,3777,19.20206486,75,1,triumph tr7 coupe
528,28.60584024,4,140,110,2720,15.383452900000002,82,2,dodge magnum xe
530,29.053244699999997,4,116,148,1975,15.43343216,71,2,opel 1900
532,34.70706283,4,135,97,1875,15.29461204,81,1,pontiac astro
534,25.70872862,4,105,97,3233,13.6260407,81,1,toyouta corona mark ii (sw)
536,27.89389787,4,90,120,2125,15.61818341,77,1,dodge monaco brougham
537,17.00588817,8,350,150,4456,13.48964046,72,1,dodge rampage
539,17.610128699999997,6,302,71,2774,19.23979437,75,1,triumph tr7 coupe
540,23.11033991,4,97,97,2190,12.97930151,81,1,datsun pl510
541,34.67124857,4,135,97,1875,15.27938064,81,1,pontiac astro
542,28.32341625,4,90,80,4295,15.50902546,77,3,toyota starlet
543,20.63007254,4,360,97,2957,15.21647866,78,1,vokswagen rabbit
544,33.67726238,4,151,100,4274,13.62337335,78,2,ford mustang ii 2+2
547,36.18882775,4,97,100,3820,15.31706211,74,3,buick regal sport coupe (turbo)
550,28.90502359,4,97,67,2265,15.15506798,79,1,fiat 124 sport coupe
551,28.5443609,4,97,78,2755,17.61850526,71,1,audi 5000s (diesel)
552,22.807029699999998,6,156,108,2200,13.25029084,76,3,toyota mark ii
554,22.55056677,4,140,72,1760,17.45394616,73,1,dodge monaco brougham
555,23.101928,4,225,100,3353,15.18477263,79,1,peugeot 504
556,35.63239535,4,134,67,2755,17.62466963,80,3,plymouth valiant
559,35.83456984,4,140,110,2295,13.75188398,82,1,buick century limited
560,23.54093087,8,262,105,3870,15.26142974,75,1,chevrolet nova
561,17.71885245,8,302,150,2210,13.15156084,79,1,amc matador
562,22.56051811,8,231,139,2300,15.26704431,78,1,chevrolet nova
563,23.50932772,6,225,100,2300,15.326924100000001,79,1,chevrolet nova
564,23.14857197,4,121,85,3070,13.65031397,73,2,saab 99le
565,35.78979146,4,305,110,3725,13.827715300000001,82,2,amc gremlin
566,26.64345843,4,90,97,3233,15.51919704,77,3,toyouta corona mark ii (sw)
567,28.49737438,4,97,60,2123,17.93225357,71,2,chevrolet caprice classic
570,33.52805654,4,135,97,1875,15.33136232,81,1,pontiac astro
572,35.60750768,4,151,67,3940,15.51847542,71,2,ford pinto
573,17.80279643,8,302,140,2774,13.12658782,79,1,plymouth reliant
574,44.02178970000001,4,85,?,1955,20.7951748,80,2,pontiac astro
575,23.06047573,8,302,139,3380,13.05895597,78,1,ford futura
579,27.007150199999998,4,90,75,2807,17.845464800000002,77,1,fiat 128
581,35.99588018,4,105,67,2000,15.05880103,81,1,peugeot 504
584,16.79214343,6,318,110,3205,19.34258407,75,1,vw rabbit custom
586,34.43443871,4,144,100,2065,13.464997899999998,71,2,ford mustang ii 2+2
589,23.21599232,4,400,85,3193,17.34481067,73,1,honda civic 1500 gl
591,35.53662285,4,134,85,2391,15.49636018,74,3,datsun 210 mpg
593,23.49084545,4,121,110,2300,15.35332176,79,1,chevrolet nova
594,28.92353456,4,151,90,2295,15.62622426,80,1,datsun 810 maxima
595,23.01227321,6,140,110,2815,18.13353363,80,1,dodge aspen
598,22.65364939,6,200,85,3193,17.07812548,73,1,dodge monaco brougham
599,26.461404700000003,4,141,97,3233,15.32608327,79,1,ford pinto
600,22.50200081,4,140,72,1760,19.36375741,71,1,vw rabbit
606,35.82851018,4,105,70,2000,15.09044654,81,1,peugeot 504
607,23.005682800000002,8,302,140,2210,13.217959,79,1,mercury cougar brougham
609,34.71779766,4,151,130,4274,21.11922237,72,2,buick skyhawk
610,28.07133921,4,250,145,3233,17.80707648,71,1,mercury zephyr 6
611,22.21538266,6,89,71,2930,13.28829743,76,3,audi 5000s (diesel)
616,17.30800176,8,350,150,4456,13.46807906,72,1,dodge rampage
617,22.81124956,8,97,139,2300,13.18580545,78,1,ford futura
619,23.20533902,4,225,100,2300,15.32172594,79,1,chevrolet nova
621,36.05522341,4,105,132,2000,14.98395519,81,1,chevrolet impala
623,22.553199399999997,6,400,85,3193,17.32506031,71,1,dodge monaco brougham
626,28.59906506,4,97,150,2130,13.23972591,70,1,datsun pl510
628,23.07776752,4,232,95,3193,13.29701769,71,1,dodge aries se
629,22.50486684,6,89,71,3233,15.1805154,76,3,audi 5000s (diesel)
631,22.33131192,6,200,85,2190,17.13128844,71,1,honda civic 1300
633,33.10170317,4,88,122,2065,13.65950342,71,2,pontiac lemans v6
634,36.07334203,4,151,90,3420,15.49222856,80,1,buick lesabre custom
637,22.86440285,4,140,148,2300,13.69857379,82,1,buick century limited
639,17.12847022,8,318,150,3897,13.22545869,75,1,capri ii
640,17.4042734,8,302,150,2774,13.23801338,79,1,amc matador
642,22.39854577,6,200,85,3193,17.16857902,71,1,oldsmobile cutlass ciera (diesel)
645,44.41010542,4,85,?,1955,21.05783658,80,2,pontiac astro
649,34.44463986,4,134,85,2391,15.46107697,74,3,datsun 210 mpg
651,23.08124429,6,400,85,3193,17.2677263,71,1,honda civic 1300
655,36.14217305,4,97,60,2123,14.9893038,81,3,datsun 200sx
656,23.23606761,6,140,110,2815,18.186410600000002,80,1,dodge aspen
657,34.66072386,4,135,97,1875,15.28664769,81,1,pontiac astro
659,17.44037568,8,429,220,2245,9.559641329,70,1,datsun 710
660,26.74093766,4,141,97,3233,15.32505907,81,1,peugeot 505s turbo diesel
662,26.71916695,4,105,97,3233,15.23344108,71,1,peugeot 505s turbo diesel
663,23.54848589,4,140,72,2408,13.46760925,76,1,chevrolet vega
665,22.76016449,4,140,120,1760,13.39932515,71,1,vw rabbit
668,35.65134131,4,134,90,1875,15.42550293,80,1,plymouth champ
669,34.70764657,4,260,90,1955,21.55670323,79,1,buick skyhawk
673,36.169275,4,104,67,2000,14.94574824,81,1,datsun 200sx
674,27.49566065,4,140,97,2639,17.02384613,75,1,amc hornet
675,23.00771598,6,400,85,3193,17.26266932,71,1,honda civic 1300
677,28.67626241,4,121,150,2130,13.25961718,70,1,datsun pl510
678,36.34073259,4,105,67,2000,15.02570946,79,1,fiat 124 sport coupe
681,23.10811241,4,400,85,3193,13.24331719,71,1,honda civic 1300
682,28.57289067,4,97,150,2130,13.3019207,70,1,datsun pl510
684,36.57031353,4,107,108,2123,15.18784087,81,3,datsun 200sx
686,22.2201617,4,90,120,2125,15.59541799,77,1,fiat 128
690,22.95980333,6,400,85,3193,17.32459562,71,1,honda civic 1300
692,17.37782491,8,90,145,2050,17.7317729,77,1,fiat 128
694,17.09194064,8,400,193,4732,13.04885266,70,1,datsun 200-sx
696,35.58609232,4,144,100,2702,15.50533636,74,3,datsun 210 mpg
697,28.55137589,4,97,150,2130,13.32940288,70,1,datsun pl510
699,35.6918206,4,140,110,3381,13.74801455,82,1,buick century limited
701,35.426057,4,134,67,1875,17.52056395,80,3,plymouth valiant
703,17.40952197,8,429,220,2245,9.70282501,70,1,ford galaxie 500
704,35.76318905,4,135,88,1875,15.31185009,80,1,pontiac astro
705,34.96429215,4,135,97,1875,15.30420606,81,1,pontiac astro
707,17.84832973,8,302,220,2774,15.16567811,76,1,ford gran torino (sw)
708,22.86116933,6,225,67,2200,15.25715867,76,1,toyota mark ii
709,22.95281098,6,200,85,3193,13.21533559,71,1,honda civic 1300
712,23.16217906,8,302,130,2950,17.14665932,76,1,datsun 210
714,17.14661168,8,302,140,2135,13.26060033,79,1,mercury cougar brougham
715,17.40768217,8,302,150,3563,13.20045733,73,1,dodge monaco brougham
716,23.96393524,4,121,112,2720,13.56739159,73,1,saab 99le
719,28.19840448,4,97,97,2300,15.35596924,77,1,pontiac lemans v6
720,22.56739521,6,108,139,2300,15.203026699999999,78,1,chevrolet nova
723,35.84396546,4,140,90,2265,15.26916156,73,1,saab 99le
726,22.69014047,6,200,139,3380,13.19921811,78,1,ford futura
727,43.95471725,4,258,69,4274,21.75093686,78,2,ford pinto
728,28.43214435,4,140,110,2300,13.65496667,82,1,buick century limited
730,36.301351399999994,4,97,61,4335,15.27757483,74,3,buick regal sport coupe (turbo)
732,43.97488779,4,85,85,2190,18.22145531,75,2,ford pinto
734,17.36844895,8,350,150,4456,13.44975856,72,1,dodge rampage
735,21.03729634,4,307,97,3233,15.12160965,81,1,hi 1200d
739,16.27513541,8,400,150,4154,12.85003428,70,1,datsun 200-sx
742,17.41499331,8,429,220,2245,9.788093785,70,1,ford galaxie 500
743,22.14788962,6,156,71,2200,15.21839647,76,1,toyota mark ii
744,22.56608281,8,302,130,2135,13.18545528,79,1,plymouth reliant
747,16.40398691,8,400,150,3193,17.07155792,70,1,honda civic 1300
749,44.15281316,4,258,69,4274,21.92251057,72,2,pontiac astro
754,17.93163347,8,302,140,2774,13.24917483,79,1,plymouth reliant
755,17.97721088,8,302,140,2210,13.21843856,79,1,mercury cougar brougham
756,44.53396354,4,85,64,2190,17.69760348,81,1,toyota corolla
758,34.67960618,4,151,85,3193,13.85796547,71,2,ford mustang ii 2+2
759,17.65360309,8,429,220,2245,9.631668942000001,70,1,ford galaxie 500
761,28.60920431,4,140,90,2670,15.37456645,76,1,chevrolet caprice classic
762,17.03558432,8,318,150,2500,13.25090218,73,1,amc matador
763,27.49400856,4,105,97,3233,15.38459036,81,1,peugeot 505s turbo diesel
764,28.69833784,4,97,148,3781,17.58794519,71,2,opel 1900
768,28.86781018,4,97,90,3420,15.49976001,80,1,toyota corolla
770,17.81012639,8,302,150,2210,13.19167009,73,1,amc matador
771,17.60882857,8,302,130,2615,15.09012593,78,1,ford futura
772,35.74608951,4,98,90,2670,15.35796211,79,1,pontiac lemans v6
774,35.28232982,4,151,67,3940,15.39388112,71,1,datsun 210 mpg
776,35.77612884,4,140,148,2720,17.67986908,82,2,datsun 200-sx
777,17.51965317,6,89,71,4154,19.19276497,75,1,triumph tr7 coupe
